Symbol,Name,LastSale,MarketCap,ADR TSO,Country,IPOyear,Sector,Industry,Summary Quote
NESR,National Energy Services Reunited Corp.,11.65,996806258.9,n/a,United States,2017,Energy,Oilfield Services/Equipment,https://www.nasdaq.com/symbol/nesr
NESRW,National Energy Services Reunited Corp.,1.85,0,n/a,United States,2017,Energy,Oilfield Services/Equipment,https://www.nasdaq.com/symbol/nesrw
NFG,National Fuel Gas Company,55.65,4783184169,n/a,United States,n/a,Public Utilities,Oil/Gas Transmission,https://www.nasdaq.com/symbol/nfg
NGS,"Natural Gas Services Group, Inc.",21.3,278742577.8,n/a,United States,2002,Energy,Oilfield Services/Equipment,https://www.nasdaq.com/symbol/ngs
NRP,Natural Resource Partners LP,29.45,360642344,n/a,United States,2002,Energy,Coal Mining,https://www.nasdaq.com/symbol/nrp
NCSM,"NCS Multistage Holdings, Inc.",16.47,739649912.4,n/a,United States,2017,Energy,Oilfield Services/Equipment,https://www.nasdaq.com/symbol/ncsm
GBR,"New Concept Energy, Inc",2.47,5265879.45,n/a,United States,n/a,Energy,Oil & Gas Production,https://www.nasdaq.com/symbol/gbr
NFX,Newfield Exploration Company,29.25,5845830237,n/a,United States,1993,Energy,Oil & Gas Production,https://www.nasdaq.com/symbol/nfx
NJR,NewJersey Resources Corporation,45.55,4021008741,n/a,United States,n/a,Public Utilities,Oil/Gas Transmission,https://www.nasdaq.com/symbol/njr
NEXT,NextDecade Corporation,5.52,600858441.8,n/a,United States,2015,Public Utilities,Oil & Gas Production,https://www.nasdaq.com/symbol/next
NEP,"NextEra Energy Partners, LP",47.81,2596738666,n/a,United States,2014,Public Utilities,Electric Utilities: Central,https://www.nasdaq.com/symbol/nep
NEE,"NextEra Energy, Inc.",166.85,78687241525,n/a,United States,n/a,Public Utilities,Electric Utilities: Central,https://www.nasdaq.com/symbol/nee
NGL,NGL ENERGY PARTNERS LP,10.95,1336461888,n/a,United States,2011,Energy,Oil Refining/Marketing,https://www.nasdaq.com/symbol/ngl
NMK^B,"Niagara Mohawk Holdings, Inc.",94,0,n/a,United States,n/a,Public Utilities,Natural Gas Distribution,https://www.nasdaq.com/symbol/nmk^b
NMK^C,"Niagara Mohawk Holdings, Inc.",96.5,0,n/a,United States,n/a,Public Utilities,Natural Gas Distribution,https://www.nasdaq.com/symbol/nmk^c
NINE,"Nine Energy Service, Inc.",32.9,824586550.9,n/a,United States,2018,Energy,Oilfield Services/Equipment,https://www.nasdaq.com/symbol/nine
NI,"NiSource, Inc",24.89,9035983090,n/a,United States,n/a,Public Utilities,Power Generation,https://www.nasdaq.com/symbol/ni
NBL,Noble Energy Inc.,31.17,15058812684,n/a,United States,n/a,Energy,Oil & Gas Production,https://www.nasdaq.com/symbol/nbl
NBLX,Noble Midstream Partners LP,34.9,1384289061,n/a,United States,2016,Energy,Natural Gas Distribution,https://www.nasdaq.com/symbol/nblx
NOA,North American Construction Group Ltd.,9.3,251604292.5,n/a,Canada,2006,Energy,Oilfield Services/Equipment,https://www.nasdaq.com/symbol/noa
NRT,North European Oil Royality Trust,7.6619,70417381.52,n/a,United States,n/a,Energy,Oil & Gas Production,https://www.nasdaq.com/symbol/nrt
NOG,"Northern Oil and Gas, Inc.",3.94,1270438130,n/a,United States,n/a,Energy,Oil & Gas Production,https://www.nasdaq.com/symbol/nog
NWN,Northwest Natural Gas Company,68.2,1964192872,n/a,United States,n/a,Public Utilities,Oil/Gas Transmission,https://www.nasdaq.com/symbol/nwn
NWE,NorthWestern Corporation,57.59,2897729308,n/a,United States,n/a,Public Utilities,Power Generation,https://www.nasdaq.com/symbol/nwe
NRG,"NRG Energy, Inc.",35.79,10859734826,n/a,United States,n/a,Public Utilities,Electric Utilities: Central,https://www.nasdaq.com/symbol/nrg
NS,Nustar Energy L.P.,27.07,2897643669,n/a,United States,n/a,Energy,Natural Gas Distribution,https://www.nasdaq.com/symbol/ns
NES,"Nuverra Environmental Solutions, Inc.",10.1309,118486751.4,n/a,United States,2017,Energy,Oilfield Services/Equipment,https://www.nasdaq.com/symbol/nes
OMP,Oasis Midstream Partners LP,21.67,596553993.4,n/a,United States,2017,Energy,Oil & Gas Production,https://www.nasdaq.com/symbol/omp
OAS,Oasis Petroleum Inc.,13.92,4426500798,n/a,United States,2010,Energy,Oil & Gas Production,https://www.nasdaq.com/symbol/oas
